"IDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","RETRINOIN","RETRIIN","GEXTRA","VESPNOIN","VESPIN","ANOS2","FACTOTAL"
10202,4,1,"M0",1,2,1,1,6,1,"D0",0,6,0,1,1,1,0,0,6,0,0,1800,40,0,0,31,6,0,6,0,1400,0,0,0,0,28,88.9,1400,3,4,6,0,6,0,6,0,6,0,4386.66,0,0,0,0,2,41.57
22443,4,2,"H2",2,2,1,2,6,2,"H0",0,2,0,2,2,1,4,0,22,0,0,182,10,30,0,31,6,0,6,0,206.82,0,0,14.77,0,0,14.63,10.83,4,0,1,3,6,0,6,0,6,0,845.01,55.49,0,0,0,1,6.86
13753,8,4,"H2",3,1,2,3,1,1,"E0",1,6,37,3,1,1,0,0,31,0,0,1642,40,0,0,31,6,0,6,0,2907.94,0,0,375.08,0,666.86,221.31,3598.25,12,0,1,1,6,0,6,0,6,0,42754.11,13.8,2729.4,281.75,0,6,16.01
10109,2,6,"J0",1,2,2,2,1,1,"L0",0,3,2,1,1,1,0,0,30,0,14,1826,40,0,0,31,6,0,6,0,1166.66,0,0,0,0,0,74.08,1166.7,12,0,6,0,6,0,6,0,6,0,13918.28,0,0,0,0,2,15.04
14214,13,1,"S0",4,1,1,4,6,1,"O0",0,3,19,5,1,1,0,0,22,0,8,1665,37,30,0,31,6,0,6,0,1421.19,0,0,621.5,0,121.82,66.8,1421.19,12,0,1,7,6,0,6,0,6,0,25467.16,194.09,0,0,0,4,7.81
3195,19,5,"E0",3,2,2,3,1,1,"D0",0,3,22,0,1,1,0,0,0,30,0,1704,38,0,0,31,6,0,6,0,2032.31,0,0,666.4,0,539.74,164.86,3439.61,12,0,6,0,6,0,6,0,6,0,47382.29,0,8890.84,0,0,5,13.05
24818,12,2,"M0",2,2,4,2,1,1,"D0",0,5,0,7,1,1,0,0,9,0,0,1792,40,0,0,31,6,0,6,0,1887.52,0,0,1152,0,518.95,205.44,3235.33,9,25,6,0,6,0,6,0,6,0,31394.97,0,0,0,0,3,13.42
21040,9,5,"C2",2,2,2,1,1,1,"M0",0,4,8,6,1,1,0,0,22,0,0,1748,40,0,0,31,6,0,6,0,1034.14,0,0,1044.69,222.99,351.53,157.1,2473.97,12,0,1,17,6,0,6,0,6,0,29019.5,650.16,4219.24,62.16,0,3,34.44
22892,4,5,"G2",3,2,2,2,6,2,"G0",0,2,0,6,2,1,0,0,0,20,0,1780,30,0,0,31,6,0,6,0,605.21,151.32,0,204.72,0,0,61.04,961.25,8,1,1,5,6,0,6,0,6,0,7617.69,0,1236.48,0,0,2,60.52
18658,7,3,"P0",3,1,2,3,6,1,"C0",0,6,2,3,1,2,0,0,22,0,2,1664,37,30,0,31,6,0,6,0,1600.86,0,0,0,0,218.52,76.58,1629.3,12,0,6,0,6,0,6,0,6,0,19715.66,0,0,0,0,2,91.2
5236,7,2,"B0",1,2,1,2,1,1,"L0",0,4,2,0,1,1,0,0,0,30,0,1708,40,0,0,31,6,0,6,0,1708.34,0,0,0,0,170.83,108.48,1708.34,12,0,6,0,6,0,6,0,6,0,20506.27,0,0,0,0,2,4.29
4463,10,5,"Q0",2,2,1,2,6,2,"D0",0,3,15,5,1,1,0,0,0,38,0,1720,40,0,0,31,1,19,6,0,1773.04,0,0,0,0,216,115.65,1821.19,11,29,1,93,6,0,6,0,6,0,16801.17,4394.83,0,0,0,6,105.91
24750,15,6,"O0",3,1,1,5,1,1,"I0",1,4,22,0,1,1,0,0,24,0,3,1600,37,30,0,31,6,0,6,0,804.19,0,0,3238.94,0,1026.55,262.85,4139.4,12,0,1,21,6,0,6,0,6,0,54505.81,5698.14,0,0,0,5,30.68
8413,2,6,"C3",4,2,2,1,1,1,"L0",0,2,22,0,1,1,0,0,0,30,0,1768,39,0,0,31,6,0,6,0,1207.83,0,0,91.32,0,129.91,112.84,1776.94,12,0,1,2,6,0,6,0,6,0,21074.83,0,5575.98,0,0,4,6.5
21431,10,2,"N0",3,2,2,1,1,2,"M0",0,4,0,4,1,2,0,0,0,0,0,1683,40,0,0,31,6,0,6,0,1709.41,0,0,0,0,34.19,109.4,1709.41,4,0,6,0,6,0,6,0,6,0,6114.37,0,0,0,0,3,12
11074,4,1,"Q0",1,2,1,2,6,1,"H0",0,3,7,2,1,1,0,0,0,30,0,1755,39,0,0,31,6,0,6,0,1101.14,0,0,39,19.47,22.02,81.37,1281.42,12,0,6,0,6,0,6,0,6,0,15240.73,0,2163.34,0,0,4,144.81
3929,5,2,"C1",1,2,2,1,1,1,"L0",0,3,0,5,1,2,0,0,25,0,0,1776,40,0,0,31,6,0,6,0,1058.96,0,0,153.51,0,63.8,96.53,1375.49,5,0,1,6,6,0,6,0,6,0,4653.34,198.01,0,0,0,3,41.45
12736,7,4,"Q0",3,1,1,5,6,1,"B0",0,6,21,11,1,1,0,0,22,0,0,1578,37,30,0,31,6,0,6,0,2263.81,0,0,0,0,495.45,140.21,2921.04,12,0,6,0,6,0,6,0,6,0,39271.59,0,0,0,0,5,63.68
13725,7,5,"F0",3,2,4,2,1,1,"D0",0,4,23,2,1,1,0,0,0,30,0,1752,40,0,0,31,6,0,6,0,1237.14,0,0,575.38,0,265.86,152.98,2409.12,12,0,6,0,6,0,6,0,6,0,30719.86,0,3284.82,0,0,5,28.04
7558,5,2,"M0",1,1,1,3,6,2,"C0",0,7,13,2,1,1,0,0,22,0,3,1642,37,0,0,31,6,0,6,0,2136.42,0,0,184.97,0,250.9,121.62,1915.27,12,0,6,0,6,0,6,0,6,0,30622.59,0,0,0,0,6,8.49
7340,8,1,"Q0",2,2,2,2,6,1,"H0",0,4,0,4,2,1,0,0,0,15,0,1144,26,0,0,31,6,0,6,0,741.52,0,0,83.04,83.04,50.1,71.48,1125.54,6,17,6,0,6,0,6,0,6,0,7431.04,0,726.45,0,0,4,80.97
21735,1,2,"E0",1,2,1,2,1,1,"O0",0,2,8,5,1,1,0,0,28,0,0,1589,35,0,0,31,6,0,6,0,1825.71,3004.63,0,251.55,0,813.17,174.38,2743.82,12,0,6,0,6,0,6,0,6,0,31074,0,3004.63,0,0,4,54.1
4953,18,3,"N0",3,2,4,1,6,1,"F0",0,4,3,0,1,1,0,0,22,0,0,1780,39,0,0,31,1,31,6,0,951.17,0,0,0,0,57.1,79.86,1257.61,12,0,1,365,6,0,6,0,6,0,3902.55,7511.5,0,0,0,5,34.76
11068,1,6,"M0",3,1,1,3,6,1,"E0",0,4,15,5,1,1,0,0,23,0,8,1563,35,0,0,31,6,0,6,0,1050.62,0,0,627.46,0,121.45,121.14,1880.02,12,0,1,7,6,0,6,0,6,0,22569.48,322.56,2755.01,0,0,5,22.6
14481,11,2,"C6",2,2,3,1,6,1,"M0",0,2,0,10,1,2,0,0,0,30,6,1752,40,0,0,31,6,0,6,0,1592.74,0,0,61.24,61.24,266.94,117.35,1847.99,12,0,6,0,6,0,6,0,6,0,23223.37,0,1003.98,0,0,2,9.81
7812,6,6,"N0",2,2,2,2,6,1,"O0",0,2,3,0,1,1,0,0,0,30,0,1761,39,0,0,31,6,0,6,0,1372,0,0,0,0,78,90,1372,12,0,6,0,6,0,6,0,6,0,16300,0,0,0,0,5,30.29
14609,1,3,"J0",3,2,2,1,1,1,"D0",0,7,21,4,1,1,0,0,22,0,0,1826,40,0,0,31,6,0,6,0,2671.85,0,0,3504.69,0,1980.4,262.85,4139.4,12,0,6,0,6,0,6,0,6,0,82763.6,0,2035.68,89.86,0,6,9.27
21012,1,6,"Q0",1,2,2,1,6,1,"O0",0,3,10,9,1,1,0,0,0,30,0,1792,40,0,0,31,6,0,6,0,903.87,0,0,131.06,74.84,10.87,75.88,1194.95,12,0,1,7,6,0,6,0,6,0,14806.56,173.61,1955.94,0,0,5,39.24
21192,6,1,"H1",3,1,2,3,1,1,"N0",0,4,21,10,1,1,0,0,0,35,5,1536,35,0,0,31,6,0,6,0,3015.71,0,0,938.69,0,1137.19,262.85,4139.39,12,0,1,14,6,0,6,0,6,0,65832.89,1322.75,18166.34,61.35,0,4,22.64
3306,14,6,"F0",2,1,2,3,1,1,"N0",0,3,4,3,1,1,0,0,22,0,1,1620,39,0,0,31,6,0,6,0,1212.96,0,0,423.67,0,87,112.54,1813.36,12,0,1,8,6,0,6,0,6,0,25587.92,272.45,4934.8,0,0,5,94.99
